"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty [nm]"
1.0,1.0,5814.907791586373,791010.9964683064,996.1970004043179,4299.473906482582,31.355186135035765
2.0,1.0,6259.787207907805,202583.7168397504,963.7542782487766,4434.181540359491,28.927521786125517
3.0,1.0,6889.18091110613,543001.5733414545,1033.0531318141511,4859.846392296769,39.99779733955132
4.0,1.0,7653.620954181245,122960.9201035199,980.1715425670585,4202.8684151320795,37.14995344205339
5.0,1.0,7363.305198758017,611067.0406694008,1018.5168461759378,4487.723597565606,31.207819268447384
6.0,1.0,13295.236506740615,783420.3963176818,1041.4651796844237,4766.423568762658,27.77860239152321
7.0,1.0,13881.323560880168,907632.0646800508,1045.1673122925054,4693.932340101377,38.52628777020519
8.0,1.0,13719.003731543597,1071496.9375473326,1052.0593457077307,4649.893978894439,37.162202734999
9.0,1.0,14077.061363484961,47738.04514574192,952.5883743409584,3954.01768304879,27.47649399661663
10.0,1.0,14416.163773347482,522835.0983538253,1014.410662384128,4882.264346951535,37.33189818133326
11.0,1.0,15274.782003537819,848256.0395937599,1000.2098756039223,4449.384856985382,30.321925373286707
12.0,1.0,16582.9894635737,271780.2571077369,966.5122779174154,4571.217762006887,32.35321714230484
13.0,1.0,16675.562842388037,287907.13577021996,970.0483225278888,4149.171846728474,33.68404806461473
14.0,1.0,17552.22719357779,703222.0257113562,1001.6664895230754,4386.596238060643,39.04732242650198
15.0,1.0,16510.756871973255,1148431.1672817292,1082.6294539731502,4463.917245261886,33.868936956949796
16.0,1.0,17664.20758435683,133132.07029733944,952.4265564086473,4065.975959530217,31.21215343291601
17.0,1.0,18119.511363897593,197808.21225154377,935.1688876077474,4086.877912432264,33.21141233708034
18.0,1.0,21221.292817666857,568492.633244455,1020.5766649582991,4967.557484144987,39.46660458152776
19.0,1.0,22108.035376934826,1154808.728977869,1032.783164756014,4189.188466120584,42.86085885133135
20.0,1.0,22543.202430142588,438641.1665761771,1014.0303738734675,4918.239511077707,34.41293578451544
21.0,1.0,23267.42313065819,909364.3874076628,968.0812182133267,4322.753158205394,31.34779637805307
22.0,1.0,25402.19755552431,82414.5694903949,1020.6467505730466,4416.252933901534,42.041679522494015
23.0,1.0,26323.137879460486,254305.4164393209,1563.601201683164,7979.009108511766,207.00289977633233
24.0,1.0,26890.839557025905,1214827.7962711533,1058.1224011421796,3719.5856481796372,51.076532213006374
25.0,1.0,28003.728278858835,264752.8949341917,945.3034738952139,4178.88413382526,33.671042263737874
26.0,1.0,27612.198982582053,768700.7985027314,992.51586722429,4652.6459691712425,32.50862048140453
27.0,1.0,29577.727283713615,307915.56817803695,997.0267869467604,4640.802110693874,36.217860920551495
28.0,1.0,29706.358337945447,917144.2380219514,1038.8344376371956,5038.49878042124,35.70619468004981
29.0,1.0,30890.653027026794,504459.0741077703,1000.8904713791919,4708.372756413632,30.994197776785136
30.0,1.0,30639.97301125838,804186.3050788058,1043.4347642265732,5168.457786888041,36.986042705148876
31.0,1.0,30572.055918449318,992971.7195764494,1019.6379710071875,4208.808733524405,38.79506978834454
32.0,1.0,30828.846859818634,1141815.3752726577,1054.8675969975295,4699.104010952452,34.51681076512001
33.0,1.0,32064.24828199515,230388.21529233854,984.989113853157,4355.608879273552,30.11216303293733
34.0,1.0,32239.643585737722,320226.15711374383,1000.0718505349913,4455.897074181999,29.776328788118732
35.0,1.0,31718.591918171503,399688.5912211272,996.2846673110772,4542.0184403769545,32.39444251603196
36.0,1.0,31824.195461368876,710700.9595387019,1035.5064035334563,4989.100133744609,36.53622014619359
37.0,1.0,33121.080727854984,284804.8905122519,988.716750843332,4456.774317350327,44.573392967251124
38.0,1.0,34752.55971253428,289468.2997636902,925.8282404753293,4336.118439239443,45.75506340101295
39.0,1.0,35334.12479632171,1117363.3047345346,1951.8458983676649,2092.0366178293903,106.17093290348528
40.0,1.0,34951.37973040497,1204150.2400519429,1036.3845440965576,4377.8592633273365,41.02889117919356
41.0,1.0,37627.22008802388,272645.8525033533,945.5859480641395,3833.8102871792107,32.83850848167277
42.0,1.0,38961.49172060218,15795.932211656826,1032.6465227007384,4237.685521050658,31.419045345046296
43.0,1.0,40605.621076881594,91331.3675309913,933.8618521233419,4093.061687770981,30.240881124097957
44.0,1.0,41460.880539834274,947982.0788587576,1018.7480978816905,4818.533655677921,29.154666629316317
45.0,1.0,43706.972753205446,190251.26074877116,1024.7772755994833,4786.642351771553,35.736648523891375
46.0,1.0,44021.34120183626,618229.951109137,993.4842447803475,4827.477295553578,36.441365952019396
47.0,1.0,45516.760313362014,601399.126246299,987.1248611325063,4698.037733445057,36.74966249108969
48.0,1.0,45244.25214310816,678906.5639999092,1003.2730038987247,4885.5084439082075,34.4678872738686
49.0,1.0,47506.11695636368,418769.12452670216,1023.4123584753522,5091.280917739877,37.25879508977602
50.0,1.0,47631.885726680244,1066043.68544602,1036.415013603659,4616.054873355161,38.35150311608515
51.0,1.0,49714.848554904354,1214211.2237824951,1080.8903066548835,4476.233843051623,38.814349098434626
52.0,1.0,50926.30258365434,681746.4723407694,975.4304747868051,4629.287111379643,28.600274220181472
53.0,1.0,51747.342101915776,360355.693847173,1010.0178539919883,4611.064203250644,28.673078116070307
54.0,1.0,52360.17532175771,943111.5067149161,1053.7752629039908,3391.1428533998196,47.70972352369981
55.0,1.0,53537.10948123232,1186113.3948055415,1032.8752360984518,4564.026709861122,43.13796150324936
56.0,1.0,58298.503517929494,426642.14188791276,976.403666366957,4919.170104845988,34.3855346021917
57.0,1.0,58927.39090532835,93996.98552005576,1029.5055087456308,4699.920603349207,33.94989451023694
58.0,1.0,60537.573263991355,249685.4207539181,1009.4308923914548,4769.103555415062,41.28856373023854
59.0,1.0,60227.20974921847,354422.8924119515,1020.4518440498266,4929.922173259871,28.11097063224805
60.0,1.0,60755.33116580527,1058987.6568808537,1004.6948664700566,4571.404407326807,36.04706644491029
61.0,1.0,61138.28515525497,925991.6088788405,1009.1926724233251,4861.616823901502,30.04151166619319
62.0,1.0,62089.586061915084,1007634.1094588024,1016.6945973052293,5189.865027297024,31.098283079583382
63.0,1.0,62626.85752959318,455511.30614759476,989.9972259048994,4982.87990038032,29.662060106806813
64.0,1.0,63342.31118049641,137836.2925489431,954.7417375308333,4583.583702631006,32.52894464691164
65.0,1.0,63789.39395951154,722491.7207148329,1075.4920678083008,5731.085437102288,36.92292708938609
66.0,1.0,64959.01080497872,127039.61208454396,990.2134962605936,4437.692925126531,31.217407951338263
67.0,1.0,67574.96067933718,344091.5833250986,995.1489057896812,5218.095818028174,39.993147882213755
68.0,1.0,67243.28235668727,393219.85508944734,1014.986021269307,4893.912765070948,30.545366969003123
69.0,1.0,66988.95682381775,1048451.3780589182,1033.530321463275,4886.741837325861,30.917617227833496
70.0,1.0,69100.80215262009,174264.68959512634,999.1194603549352,5113.816841833047,39.48247843411797
71.0,1.0,69898.05570575294,621463.5967371258,1050.2799363176189,5225.782950513121,39.94700384373337
72.0,1.0,72831.23266585916,218466.3799033029,1025.676682359594,5484.5951441311045,40.818007891681276
73.0,1.0,76948.47301098879,285409.8160911159,1017.4749397915435,5008.868958366722,30.75872986217946
74.0,1.0,77393.90365643008,729115.4679022549,1009.867905652532,5205.050032040771,33.88956231193248
75.0,1.0,79300.49867661175,818522.9379818104,992.0831527516915,5268.321889837824,35.69860080262181
76.0,1.0,78762.23541690773,1066325.944145304,1001.640859332296,4894.193908469675,26.63970529268924
77.0,1.0,80863.7419526827,102480.69406661145,1030.6346997121343,5197.880641386505,40.32855165174095
78.0,1.0,81322.76099623996,404664.7978140591,982.4877064447929,5362.861588801376,28.385273171706938
79.0,1.0,82796.70886365695,599524.1152952185,975.3887904552505,2446.631852693405,36.83254018091327
80.0,1.0,83213.45797259231,988833.6844915967,986.7624398909346,4921.884426718192,33.72563071065221
81.0,1.0,84004.30994704268,411522.0989032422,961.9566203723762,5245.561960532681,31.556742442429396
82.0,1.0,85201.86619285005,821146.4138316922,967.4750196817077,4921.820463799744,31.802112257852837
83.0,1.0,84808.09990032717,954365.8107067717,1035.1415465763253,5194.726192875924,33.23840915572661
84.0,1.0,84638.76719191679,1142503.320337181,1078.808126911762,5071.86101477061,34.505183951840685
85.0,1.0,85842.7916911054,561248.5153637065,1010.947375464158,5761.640380538298,28.966451018984237
86.0,1.0,86141.05564352144,1024881.4662280267,1087.7523741799714,5663.369498334412,31.877798548923494
87.0,1.0,90442.62343600552,169283.30528720308,1014.7653304818939,5019.262384358327,29.45937074898083
88.0,1.0,93230.47925151937,1213076.9285576546,1082.2743698733047,5184.776856811268,47.82264090459753
89.0,1.0,95863.05148057523,510553.0420507177,1009.5150540580069,5138.549909322708,31.37238156196269
90.0,1.0,95783.8516161177,1194990.463680104,1023.2587225245336,4663.617539351485,40.06988393618373
91.0,1.0,97697.25001943225,502705.333846695,1001.2010978051877,5407.415904288447,29.16769658662482
92.0,1.0,100574.90226934833,79106.5090991605,977.049151761363,4631.329563381886,30.76993896653347
93.0,1.0,102063.47029420857,1039849.2356125759,1011.2838800058198,4992.467933234917,35.64187035428259
94.0,1.0,104219.03452200604,381080.4558650703,979.5889400398236,5003.6005606942135,33.23335554041139
95.0,1.0,104332.17099433996,844758.6493643868,1009.8581949527362,5675.38468657433,32.05082608552582
96.0,1.0,105139.93606964401,1005486.0287785762,1043.0538173995815,5338.258348996498,40.74657144224207
97.0,1.0,105988.9019827043,326024.8898182098,991.5254663033157,4726.156293347123,35.02689498661227
98.0,1.0,107025.99147429393,529098.8524155006,1062.1356689200586,5524.01171799946,31.558125765335806
99.0,1.0,107770.84504914192,932260.1983479742,1069.4593712050225,5527.190745295807,37.6270856809014
100.0,1.0,109641.15661289793,785145.2832252145,1017.4869514241288,5479.283065302806,37.20310854883201
101.0,1.0,109096.50375947838,839405.9044513954,1024.5167333677305,5259.45731243059,34.11785435366642
102.0,1.0,109749.39644865261,854278.0663947745,994.3624025791582,5247.784805974002,32.4465412826786
103.0,1.0,111646.75943591738,105661.48743417907,1005.4858396802456,4459.463803727314,31.412308009356412
104.0,1.0,112697.61974569877,183325.83742856476,1052.6605914802733,5788.95784742721,35.33987214849237
105.0,1.0,112862.306497788,1040387.2662498681,1029.202281056981,5159.926586613654,36.934690333781184
106.0,1.0,114104.19277365733,133781.6599537435,1022.9507320352577,5046.252610847283,33.85757665373146
107.0,1.0,114960.77985002441,449204.883457473,1028.4297734103216,5422.511602303747,30.732829958968825
108.0,1.0,115799.52151693481,1024368.7226726935,1005.6466525031014,5335.73536749791,33.32310521852032
109.0,1.0,115851.94270224098,1200072.0718953647,1028.4790963540609,5232.419218994938,39.08053819977984
110.0,1.0,116792.40853984837,866333.9766309913,1033.669277247618,5683.629088070793,36.33405003962636
111.0,1.0,117422.27770599979,935754.1225450871,1058.0425013445179,5673.323264920004,29.57532807613248
112.0,1.0,117287.90716176287,1165832.2567635449,1017.2775359420419,5112.374883789536,37.173028480848885
113.0,1.0,118457.5924920544,158055.7975923881,922.0384548289647,4746.629322061412,34.28250960746426
114.0,1.0,119715.03551183335,299112.15576493624,1014.2872374760974,5613.184038681649,42.61462712373917
115.0,1.0,120395.86505228079,389336.63809573423,998.3091711486594,5235.568046096034,37.90556720511436
116.0,1.0,123288.25403702306,610291.4346258655,1015.3996062091506,5428.127570916355,32.46266586826942
117.0,1.0,124758.87177758216,161196.63856308593,940.9682332930615,4792.417019284475,28.460473104857165
118.0,1.0,126453.73112884363,1103749.161075482,1021.4498235633425,5191.023081589463,29.892253853630322
119.0,1.0,126847.40863500889,451798.890635551,1004.4443933102697,5286.5724708341795,32.14395336612202
