"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty [nm]"
1.0,1.0,5814.907791586373,791010.9964683064,996.1970004043179,4299.473906482582,31.355186135035765
2.0,1.0,6259.787207907805,202583.7168397504,963.7542782487766,4434.181540359491,28.927521786125517
4.0,1.0,7653.620954181245,122960.9201035199,980.1715425670585,4202.8684151320795,37.14995344205339
6.0,1.0,13295.236506740615,783420.3963176818,1041.4651796844237,4766.423568762658,27.77860239152321
7.0,1.0,13881.323560880168,907632.0646800508,1045.1673122925054,4693.932340101377,38.52628777020519
12.0,1.0,16582.9894635737,271780.2571077369,966.5122779174154,4571.217762006887,32.35321714230484
15.0,1.0,16510.756871973255,1148431.1672817292,1082.6294539731502,4463.917245261886,33.868936956949796
16.0,1.0,17664.20758435683,133132.07029733944,952.4265564086473,4065.975959530217,31.21215343291601
17.0,1.0,18119.511363897593,197808.21225154377,935.1688876077474,4086.877912432264,33.21141233708034
19.0,1.0,22108.035376934826,1154808.728977869,1032.783164756014,4189.188466120584,42.86085885133135
21.0,1.0,23267.42313065819,909364.3874076628,968.0812182133267,4322.753158205394,31.34779637805307
23.0,1.0,26323.137879460486,254305.4164393209,1563.601201683164,7979.009108511766,207.00289977633233
24.0,1.0,26890.839557025905,1214827.7962711533,1058.1224011421796,3719.5856481796372,51.076532213006374
25.0,1.0,28003.728278858835,264752.8949341917,945.3034738952139,4178.88413382526,33.671042263737874
27.0,1.0,29577.727283713615,307915.56817803695,997.0267869467604,4640.802110693874,36.217860920551495
28.0,1.0,29706.358337945447,917144.2380219514,1038.8344376371956,5038.49878042124,35.70619468004981
34.0,1.0,32239.643585737722,320226.15711374383,1000.0718505349913,4455.897074181999,29.776328788118732
37.0,1.0,33121.080727854984,284804.8905122519,988.716750843332,4456.774317350327,44.573392967251124
38.0,1.0,34752.55971253428,289468.2997636902,925.8282404753293,4336.118439239443,45.75506340101295
40.0,1.0,34951.37973040497,1204150.2400519429,1036.3845440965576,4377.8592633273365,41.02889117919356
41.0,1.0,37627.22008802388,272645.8525033533,945.5859480641395,3833.8102871792107,32.83850848167277
44.0,1.0,41460.880539834274,947982.0788587576,1018.7480978816905,4818.533655677921,29.154666629316317
48.0,1.0,45244.25214310816,678906.5639999092,1003.2730038987247,4885.5084439082075,34.4678872738686
49.0,1.0,47506.11695636368,418769.12452670216,1023.4123584753522,5091.280917739877,37.25879508977602
50.0,1.0,47631.885726680244,1066043.68544602,1036.415013603659,4616.054873355161,38.35150311608515
52.0,1.0,50926.30258365434,681746.4723407694,975.4304747868051,4629.287111379643,28.600274220181472
53.0,1.0,51747.342101915776,360355.693847173,1010.0178539919883,4611.064203250644,28.673078116070307
54.0,1.0,52360.17532175771,943111.5067149161,1053.7752629039908,3391.1428533998196,47.70972352369981
56.0,1.0,58298.503517929494,426642.14188791276,976.403666366957,4919.170104845988,34.3855346021917
59.0,1.0,60227.20974921847,354422.8924119515,1020.4518440498266,4929.922173259871,28.11097063224805
60.0,1.0,60755.33116580527,1058987.6568808537,1004.6948664700566,4571.404407326807,36.04706644491029
64.0,1.0,63342.31118049641,137836.2925489431,954.7417375308333,4583.583702631006,32.52894464691164
66.0,1.0,64959.01080497872,127039.61208454396,990.2134962605936,4437.692925126531,31.217407951338263
67.0,1.0,67574.96067933718,344091.5833250986,995.1489057896812,5218.095818028174,39.993147882213755
69.0,1.0,66988.95682381775,1048451.3780589182,1033.530321463275,4886.741837325861,30.917617227833496
75.0,1.0,79300.49867661175,818522.9379818104,992.0831527516915,5268.321889837824,35.69860080262181
78.0,1.0,81322.76099623996,404664.7978140591,982.4877064447929,5362.861588801376,28.385273171706938
81.0,1.0,84004.30994704268,411522.0989032422,961.9566203723762,5245.561960532681,31.556742442429396
82.0,1.0,85201.86619285005,821146.4138316922,967.4750196817077,4921.820463799744,31.802112257852837
89.0,1.0,95863.05148057523,510553.0420507177,1009.5150540580069,5138.549909322708,31.37238156196269
91.0,1.0,97697.25001943225,502705.333846695,1001.2010978051877,5407.415904288447,29.16769658662482
93.0,1.0,102063.47029420857,1039849.2356125759,1011.2838800058198,4992.467933234917,35.64187035428259
95.0,1.0,104332.17099433996,844758.6493643868,1009.8581949527362,5675.38468657433,32.05082608552582
99.0,1.0,107770.84504914192,932260.1983479742,1069.4593712050225,5527.190745295807,37.6270856809014
101.0,1.0,109096.50375947838,839405.9044513954,1024.5167333677305,5259.45731243059,34.11785435366642
102.0,1.0,109749.39644865261,854278.0663947745,994.3624025791582,5247.784805974002,32.4465412826786
105.0,1.0,112862.306497788,1040387.2662498681,1029.202281056981,5159.926586613654,36.934690333781184
107.0,1.0,114960.77985002441,449204.883457473,1028.4297734103216,5422.511602303747,30.732829958968825
110.0,1.0,116792.40853984837,866333.9766309913,1033.669277247618,5683.629088070793,36.33405003962636
111.0,1.0,117422.27770599979,935754.1225450871,1058.0425013445179,5673.323264920004,29.57532807613248
113.0,1.0,118457.5924920544,158055.7975923881,922.0384548289647,4746.629322061412,34.28250960746426
116.0,1.0,123288.25403702306,610291.4346258655,1015.3996062091506,5428.127570916355,32.46266586826942
117.0,1.0,124758.87177758216,161196.63856308593,940.9682332930615,4792.417019284475,28.460473104857165
118.0,1.0,126453.73112884363,1103749.161075482,1021.4498235633425,5191.023081589463,29.892253853630322
119.0,1.0,126847.40863500889,451798.890635551,1004.4443933102697,5286.5724708341795,32.14395336612202
120.0,1.0,126762.34346214481,619370.900882075,1048.7272705360938,5680.345833074418,34.77439616343116
125.0,1.0,131884.07906613787,608304.9857072807,984.7805051017298,5240.187396963955,31.493972188427637
135.0,1.0,139711.35104767676,1100201.8597214015,1031.0905224089704,5299.09887833427,33.635590672573414
148.0,1.0,156286.14610152232,25397.618947271854,882.4852834524825,3799.8946338556498,186.0431231590881
151.0,1.0,158486.03572945567,22596.465373841922,915.5537072628845,4088.6459051593106,179.554045774007
156.0,1.0,162595.44624865262,613383.4127037823,1014.1448526286985,5544.046972181186,39.190059765635695
157.0,1.0,163008.72616824097,33559.450428660355,958.007381979314,4694.978716843073,29.939175848552434
158.0,1.0,165243.08894522017,977889.8645159281,1042.936748820864,5709.820856168017,41.618093694519565
161.0,1.0,169141.78425611125,614551.4726248545,1035.2908812089513,5519.611027506644,29.543992898005513
163.0,1.0,170128.6478393498,969098.9234448349,992.809992793598,5360.395307087969,29.339531841820445
165.0,1.0,174112.56979385662,25234.81118834701,959.2157566271402,4507.476687412235,164.36473274644473
167.0,1.0,174639.13240001228,508146.21823367226,995.3985079136852,5546.821411174552,35.09987855768547
169.0,1.0,175493.56544165712,28994.060626268438,906.4413215813572,4232.4669982765,170.12790718938314
173.0,1.0,182909.6779223508,16327.488050006155,984.5075858192395,5152.706177939425,32.890299583179356
175.0,1.0,183956.95448793852,516127.5860290038,1021.0743855557228,5666.5511511302075,30.60929116207029
178.0,1.0,186462.04088707286,569424.1321308396,1025.734734346347,5459.172341097142,34.9917888486934
185.0,1.0,192752.27114441904,331307.99581894313,1019.0917603264647,5359.040168906016,26.424849335412738
186.0,1.0,192778.2529692749,997903.4019512181,1009.13443097407,5148.063210290306,34.17699785620667
187.0,1.0,194441.64825333795,11563.122020298766,967.3869120947147,4764.777550556751,31.15545731644299
190.0,1.0,195045.4152733544,577457.9288093528,1029.4928650463276,5648.244738596945,28.109766291554106
193.0,1.0,199027.8054749817,999377.2959268279,991.5983705819832,5298.727110284937,30.924062823800785
196.0,1.0,201911.91654700474,987517.7315790599,1070.1227382260313,5683.278352786556,35.246920389317424
198.0,1.0,203544.00744171947,17287.846089676517,959.5186153086169,4866.103088233617,30.447155094495404
199.0,1.0,203418.07927426978,335911.5198555555,983.46889827926,5397.390850366921,33.62155991697141
206.0,1.0,209926.99120380275,13948.808001615915,981.5660367282255,5055.844781261431,29.487833972037286
207.0,1.0,209926.2835625486,72103.65299209158,992.5417822024276,5021.9702453810905,32.89061177059509
208.0,1.0,212949.46329196307,58088.983915402314,953.3832638606552,4791.600054086454,28.299080047364164
209.0,1.0,215426.02174582976,534556.3309006648,1241.716444411689,7063.005431657138,149.09253349123946
211.0,1.0,214671.04421060302,733371.6519803096,1009.3476469826116,5857.640528986268,34.09871461958282
212.0,1.0,215412.04794355234,1109722.982517236,979.2749914632608,5306.674259219957,35.381091950315444
214.0,1.0,215758.05650335163,538140.9294152823,1128.5877641284887,6674.448672178083,137.20353035255275
215.0,1.0,216028.1573567555,713597.0979242325,973.8565502209491,6011.916238015784,30.4787143906053
218.0,1.0,219011.21702567278,719447.6240345652,961.0976369239617,5284.017495695731,44.4589954298296
220.0,1.0,218359.33302933618,955608.5503622137,1052.0220147889402,5989.351388181562,30.365164123625018
223.0,1.0,220533.43056191597,744931.0440228052,1010.7684176132758,5475.468642426127,30.402088949685893
224.0,1.0,221553.74858272565,1122581.4598887565,1036.2568589101352,5608.075502906675,36.24337810198695
225.0,1.0,225308.05800086187,51962.884230424206,1013.4624784533154,5032.748394701017,32.64608483869621
227.0,1.0,228129.67807901124,544755.112693593,1026.4892912341793,5843.262416020374,36.30849011209176
228.0,1.0,228430.6733237961,965985.6134457119,1047.0756236677407,5666.27628807592,41.88846688184263
236.0,1.0,236596.73844071175,886228.5489667929,1019.3226859703215,5891.804987795531,46.83388060478238
238.0,1.0,240265.40736292783,171118.29230034509,1019.6192127090812,5840.654347185384,42.116037636025595
240.0,1.0,243134.77787699772,678612.6080074157,1043.2601528631014,5738.069423037595,35.33387218939896
241.0,1.0,242821.35021259158,687741.4642147401,1010.5175692218785,5491.014286901456,36.03180353196948
242.0,1.0,243710.17057951493,882710.5654401011,979.2876521167417,5300.766948626944,29.463433759303143
244.0,1.0,248286.11326943708,163417.51239006678,959.6013046890097,4999.818108894159,31.29220138390507
245.0,1.0,247672.26402013548,805792.5639681095,1025.7203340564845,5687.098016920537,31.407301171004125
248.0,1.0,257322.89272738472,806778.864406229,1006.1137239194998,5713.426321483235,34.19247615649923
254.0,1.0,264244.6982998348,805436.9873423778,1014.8701472542873,5586.408052413166,37.96429785202985
256.0,1.0,266693.6871313807,452093.73243187624,1842.669887119995,10859.405597066503,307.6189342875257
257.0,1.0,264876.41719529085,582612.3468066851,992.977267328555,5704.303037218104,32.4830447278324
259.0,1.0,267215.82957811677,436261.3765772966,1032.636572964279,5530.3792965460125,44.50186453862635
262.0,1.0,269544.72969913797,429893.2381615703,985.5853315538131,5596.457193442617,33.32526623347296
263.0,1.0,267631.35654855584,452612.2466668353,1855.008783209613,10747.890941057394,314.13659134427513
266.0,1.0,273683.07084991864,674586.666984114,1012.9339341446707,5725.516798604148,28.022712213160993
267.0,1.0,275002.88277312886,4461.514035072546,957.2077992420951,5171.00740603072,36.73409552280301
268.0,1.0,274292.0401419651,573037.1575860996,988.6131365319656,5632.883516755728,31.04272442898072
271.0,1.0,276410.1484415515,793157.9267750398,994.6593789083057,4232.26881556595,36.666558905352446
272.0,1.0,277420.76359775296,803494.4746758626,981.4831788045066,5307.404801784346,34.73319156728314
274.0,1.0,278993.44485457824,550718.0999553009,1021.8855871940326,6078.146689497163,36.153924425127464
275.0,1.0,279320.2219920694,1149351.601259022,1562.6064817551478,10231.357093553683,163.06322943689824
278.0,1.0,282566.0905506393,558811.4544105096,1019.6821987655143,5610.304200254469,35.3954631748547
280.0,1.0,282703.48458730633,911954.073459106,1044.8930242960819,5964.879403696487,29.97296041141289
284.0,1.0,285301.8529832038,899311.3644709352,989.7916343424383,5192.823273087824,167.38298756782947
285.0,1.0,285536.74068511295,1057933.249951304,937.894902933523,4827.801616192334,177.72211211123408
286.0,1.0,285677.89174264227,1142513.411743675,980.0508000990288,5209.311132510251,40.9162833262152
