"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty [nm]"
26.0,1.0,32500.421343175836,19989.152331285113,2119.6960050019484,31221.683714843894,530.561842856367
30.0,1.0,33395.255635678936,18455.936794934416,862.258210999684,15022.082249058098,162.827192646315
35.0,1.0,37951.47227710321,29528.429604763405,824.5241939182921,15789.67681877406,30.046083584289537
36.0,1.0,37866.739439592435,608534.2486186805,836.4752913572646,18847.968999492736,28.22019802653233
37.0,1.0,40185.628612777335,972196.0486241643,768.6127748789048,17039.90678089714,40.49366801135089
41.0,1.0,44156.106607961985,609204.7465685583,842.7614458216788,17085.70101455768,33.10931017614536
42.0,1.0,43975.050968629126,672047.190384408,740.6825427656878,16089.458483938055,31.626128458587154
44.0,1.0,45086.999800837555,963380.9684164537,889.991727677496,19408.14791332675,34.1614286882139
46.0,1.0,49060.21537480877,20803.718009861055,1060.0861123570844,16499.90273422772,143.93635233247468
48.0,1.0,49718.069227491025,503054.04736059223,792.4574657008561,18791.99540926435,29.09491147310272
50.0,1.0,50389.19389723654,24930.537591297147,890.2938072831375,14542.139847755774,84.22922545347177
51.0,1.0,52666.7752750797,666509.098883338,1134.9786693175026,13892.275732601149,55.21054718182765
54.0,1.0,58018.81459765148,12456.443561880053,816.0494862949364,16260.215029060622,36.03063065924482
55.0,1.0,58228.91146117873,562721.8643280842,723.5673803311852,13906.961084069642,178.26023652710853
57.0,1.0,59028.50024854764,511072.5432630983,874.6436516240329,19909.86391977724,26.033080378053878
60.0,1.0,61535.65081454261,564172.5014591217,714.4023781014561,15767.36907974264,125.73057475112198
62.0,1.0,64923.72042296727,7686.504754055575,773.7483627002714,14019.705528709092,75.83084274316553
66.0,1.0,67707.93112823712,326381.0117165039,756.5279081983832,15468.54085234474,33.74308768022668
68.0,1.0,67709.70668094198,992173.184666336,811.0130763927943,16997.127586530758,40.87688627743762
71.0,1.0,69475.26033164137,7256.689240199184,821.2438157167333,14936.58152345387,42.83629032928771
