"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty [nm]"
1.0,1.0,3906.1947495161703,4618.594849689054,903.2544991146387,13789.003176714676,39.4525635164395
2.0,1.0,3833.276735551595,725052.522542678,825.5944023162833,16629.19970327817,47.41744702929092
3.0,1.0,5206.172729631858,424603.47534156276,778.1001616560591,15892.762632178259,33.45685045744499
4.0,1.0,6809.722861881523,1011571.3278584206,871.3619452320107,13800.11266074393,53.69432223681153
5.0,1.0,6953.833221417147,603109.6158730513,808.7081005586831,15172.273399355281,42.33119048579487
6.0,1.0,7704.400927881181,1159280.7038617015,953.7877883850341,15272.027229042073,51.2428523641635
7.0,1.0,8440.837067569759,279601.57832525193,831.2226372492903,16486.780080468463,56.01243882286459
8.0,1.0,10555.423413576715,703486.9168265014,960.6234522699117,17217.981170169736,43.60035528508057
9.0,1.0,11626.84314647953,773101.3941170212,843.6041647437443,16182.97138138785,47.11767457467909
10.0,1.0,10685.972338618112,797873.7092693674,892.6433051216834,17374.207456512464,47.20417454817353
11.0,1.0,11540.2157902692,845427.4891177365,882.591061687333,16336.053074018875,43.81968357815249
12.0,1.0,13132.600716694056,925960.6136025746,933.0016724994663,17719.53342986829,31.124005439986014
13.0,1.0,13419.192080789118,1191090.9860609686,898.0959170116005,16114.13964569945,43.5140345119303
14.0,1.0,14758.061054227532,1094625.5009367405,940.8939999052623,17192.43137463166,40.39628250633687
15.0,1.0,16273.944943072054,378578.35555692564,960.9433622583475,20645.50824610966,39.04649030809755
16.0,1.0,15245.52715802078,409504.51972063194,812.6521747738279,16167.217370323333,34.26976118662706
17.0,1.0,16065.18276246939,1122414.2667906126,1171.4060090045111,4924.427942321158,132.3269377472139
18.0,1.0,16780.29012624387,322312.9669059677,905.927541720383,17776.641711283344,27.26093156214521
19.0,1.0,17040.715306210088,757497.8559878126,782.5796531282186,16057.753990949943,38.23949582942543
20.0,1.0,17627.522514028784,445000.9003975524,850.4487120801085,17952.67357208754,45.66416137091807
21.0,1.0,19275.546760923593,990311.3780562392,826.896794925211,17997.323022625307,28.04533035310423
22.0,1.0,20939.19102686732,1051593.5948309186,952.080430506538,18031.540368336027,54.533815865336045
23.0,1.0,22663.13160663816,176517.3082452098,788.0404215286553,15839.245302278787,31.310914281989646
24.0,1.0,24036.4100489428,496503.39438589,785.3271262281149,16790.9059465858,34.10647228276276
25.0,1.0,27651.63546465195,959687.8688031343,856.1084026739819,17512.25582171172,32.392376724757085
26.0,1.0,32500.421343175836,19989.152331285113,2119.6960050019484,31221.683714843894,530.561842856367
27.0,1.0,30915.71971027486,941802.0957309027,763.5944336670315,16214.773413581559,37.83594630070545
28.0,1.0,30452.21720488204,1008767.8615573221,925.8318488687205,16839.759453651153,49.77379264313392
29.0,1.0,32635.095815453362,534334.9975648475,964.9317036300614,20227.494394327427,35.87924439633807
30.0,1.0,33395.255635678936,18455.936794934416,862.258210999684,15022.082249058098,162.827192646315
31.0,1.0,33372.20825939981,1163523.4831428663,836.3001004993561,15254.067128990282,43.2278734822037
32.0,1.0,37343.681315440714,427767.99882281193,993.1872554507455,21113.740336486357,29.02241249826235
33.0,1.0,36385.43671755035,709334.7283272175,884.9155361421869,19485.762386975606,36.69889779140495
34.0,1.0,36478.179318088936,1072096.9563367101,914.721640881677,17475.068810088276,35.49925544527265
35.0,1.0,37951.47227710321,29528.429604763405,824.5241939182921,15789.67681877406,30.046083584289537
36.0,1.0,37866.739439592435,608534.2486186805,836.4752913572646,18847.968999492736,28.22019802653233
37.0,1.0,40185.628612777335,972196.0486241643,768.6127748789048,17039.90678089714,40.49366801135089
38.0,1.0,41754.30723537474,639644.3120593526,853.4635617936241,18906.25583212301,33.843591290203086
39.0,1.0,42534.649694167456,59433.05091243507,831.5484592586425,14874.57324319814,41.85482845046308
40.0,1.0,43652.34465508123,401755.60839210555,876.8140814547409,19780.801437785507,45.36845523175398
41.0,1.0,44156.106607961985,609204.7465685583,842.7614458216788,17085.70101455768,33.10931017614536
42.0,1.0,43975.050968629126,672047.190384408,740.6825427656878,16089.458483938055,31.626128458587154
43.0,1.0,43968.65349181426,885136.9457872873,837.288509940428,17928.558580720044,31.87972424791082
44.0,1.0,45086.999800837555,963380.9684164537,889.991727677496,19408.14791332675,34.1614286882139
45.0,1.0,47819.42567551563,1189704.064855223,963.2766035478178,19711.15943535953,29.477422081795947
46.0,1.0,49060.21537480877,20803.718009861055,1060.0861123570844,16499.90273422772,143.93635233247468
47.0,1.0,49715.69826410261,248339.51083215198,836.2016115801104,20273.731155487825,35.16572471250464
48.0,1.0,49718.069227491025,503054.04736059223,792.4574657008561,18791.99540926435,29.09491147310272
49.0,1.0,49476.89896053739,585922.8021432634,884.0122999064641,19662.241579119425,31.265153043844983
50.0,1.0,50389.19389723654,24930.537591297147,890.2938072831375,14542.139847755774,84.22922545347177
51.0,1.0,52666.7752750797,666509.098883338,1134.9786693175026,13892.275732601149,55.21054718182765
52.0,1.0,55752.45502891666,156148.38187068558,873.2619461480875,18401.272632854358,39.80977512797591
53.0,1.0,56285.86625071142,834922.7562628808,844.8069269886046,18892.129162146855,51.721228371183145
54.0,1.0,58018.81459765148,12456.443561880053,816.0494862949364,16260.215029060622,36.03063065924482
55.0,1.0,58228.91146117873,562721.8643280842,723.5673803311852,13906.961084069642,178.26023652710853
56.0,1.0,58668.35565508038,362533.44297521556,832.002874719963,17312.910159108636,44.835974332699
57.0,1.0,59028.50024854764,511072.5432630983,874.6436516240329,19909.86391977724,26.033080378053878
58.0,1.0,58955.418649927895,1033809.304278392,885.2991984365804,17539.52881625099,33.06969690638022
59.0,1.0,60629.50322207937,646721.3959631902,947.9292089711612,19898.59940036015,46.387588680174716
