frame,x [nm],y [nm],z [nm],intensity [au]
1.0,117773.90201251209,27801.334773600105,3086.41975308642,46.88536834716797
1.0,50839.14150458574,196141.22632704675,3086.41975308642,13.2884521484375
1.0,192590.63240241262,199560.21413563192,3086.41975308642,77.39154815673828
1.0,255762.37653285268,294461.88928365713,5543.6885007369665,101.30074310302734
1.0,117292.42701089382,294684.75,5555.555555555556,545.2998657226562
1.0,69029.99214982986,337755.75000000006,5153.12408959424,283.7665710449219
1.0,192134.75000000003,198023.80331916362,9980.186415307315,470.341064453125
1.0,210293.41506769508,258528.88882043958,13234.56204967734,346.68292236328125
1.0,326182.25000000006,295620.37794345623,12790.820480864724,318.4073181152344
1.0,29911.291510522347,306990.36175355647,12755.41031802142,287.0833740234375
1.0,16184.958658662623,141445.75,17595.290769765405,410.4942321777344
1.0,273002.75,161223.25,19796.745791847323,10.30286979675293
1.0,187446.75,105406.75,26543.83823772846,621.3648681640625
1.0,85886.44560599327,247804.75,33258.488222404754,271.4402160644531
1.0,280230.72666208446,44876.92019712179,37551.0338279936,247.14266967773438
1.0,142682.90083383024,187444.59051052248,36695.089605119494,192.47894287109375
1.0,206819.3614215404,206919.42405065525,41251.01426501333,267.9112548828125
1.0,217186.25000000003,202682.75000000003,42922.99758504938,613.8712158203125
1.0,167229.75000000003,186428.7126357071,47260.29915942086,506.3839111328125
1.0,344637.9670226314,109339.66439748557,51234.567901234564,453.8353271484375
1.0,346913.4661861658,260207.52314198017,51579.54527272118,188.26698303222656
1.0,300919.46278746426,8159.672903358938,52480.989031171724,87.52934265136719
1.0,250441.75,114636.25,52728.87183560265,800.0
1.0,135897.21782624722,37135.44882146547,54454.62921519338,397.7251892089844
1.0,158888.3523741551,113825.10189771654,55205.06962949847,92.35326385498047
1.0,17621.159366361782,81785.62756294012,57703.120564972916,66.54652404785156
1.0,28222.049933537848,98308.79246164858,57563.310898380514,20.0621395111084
1.0,160893.18249309066,135316.73678270727,58726.36956197244,173.51043701171875
1.0,44412.348920583725,258041.29008065167,59603.08482617508,30.04190444946289
1.0,112560.74030102044,230984.99945145845,60107.461832187786,69.0831527709961
1.0,319921.33148811763,109477.85604123026,62345.679012345674,57.34945297241211
1.0,281499.4547301568,236054.40876009318,62459.39732517725,452.8450622558594
1.0,35135.56747296451,73303.76347833127,64286.97072429421,16.391786575317383
1.0,166124.47730617225,344035.3634027839,64563.86702664105,74.54515838623047
1.0,200587.5935675055,125797.58737148345,66900.7588315893,139.3963623046875
1.0,100071.28125746548,261309.03461876517,69058.16970048127,135.88140869140625
1.0,103946.5567908995,293216.40557443537,70066.81925720639,469.7734375
1.0,341043.0591442287,192791.1904269159,74603.12519544436,211.74264526367188
1.0,182934.2259332836,62908.00460729747,78542.43470010934,417.4745788574219
1.0,218874.96016439798,68514.02460303158,79150.6192566436,234.98963928222656
1.0,208910.30087041855,111123.0670537483,79026.24894071507,305.4426574707031
1.0,18195.629774004203,269876.19387269026,87176.07686549057,101.62472534179688
1.0,149493.89593126625,237549.75000000003,88361.38964987095,677.9811401367188
1.0,168113.9368525185,289047.99625515944,91388.5317466877,282.03363037109375
1.0,92268.15075618029,333214.25,90901.44935949349,428.7267150878906
1.0,178894.54654702544,94506.87319217622,94097.57867271517,324.5762634277344
1.0,211946.61406571418,105699.75000000001,92734.44197060149,483.53369140625
1.0,48402.28482839836,177372.5739854649,92377.93007014711,110.5091552734375
1.0,82883.99633777142,53360.37028950453,95679.01234567902,46.18125915527344
2.0,119444.54684063047,29226.160280788066,3086.41975308642,23.126220703125
2.0,253613.21648763123,294729.89719617367,3086.41975308642,239.82081604003906
2.0,114050.25,297028.75000000006,5555.555555555556,800.0
2.0,69642.15962773561,336196.2680074871,5555.555555555556,353.10504150390625
2.0,29460.61479245125,310384.0122394413,11897.81133039498,60.68280029296875
2.0,323574.3961258978,296455.35946473485,12374.088204937216,265.7898864746094
2.0,193013.75000000003,199899.25000000003,15352.76730119446,495.34503173828125
2.0,211723.79832176864,255715.75,15383.267273873458,388.5745544433594
2.0,87706.52236329019,277248.08079072466,16666.666666666664,154.46946716308594
2.0,19411.249999999996,138757.90482880178,20693.988564573687,32.7177619934082
2.0,237549.75000000003,13697.749999999985,22771.033166367328,262.8544006347656
2.0,271244.75,165019.9719984904,24074.074074074073,32.331058502197266
2.0,185480.0111796558,106296.10731164739,26239.998049942064,117.02631378173828
2.0,86097.1504695341,248776.88480713966,32805.26687517578,66.05230712890625
2.0,277104.75,45907.20372248441,33721.58424721824,190.72093200683594
2.0,144644.14515408874,187456.78022537753,34898.80193898707,439.80828857421875
